    feature,importance
month_2018-10-01,6.384112944334531e-06
nearest_bus_interchange_name_Jurong East Interchange,6.378839195255936e-06
nearest_supermarket_name_SS16,6.350536594095747e-06
remaining_lease_73 years 11 months,6.3402249740815354e-06
month_2019-11-01,6.226278849349424e-06
nearest_supermarket_name_SS69,6.2043192740114835e-06
remaining_lease_94 years 09 months,6.184512742698099e-06
nearest_top_secondary_name_Chung Cheng High School (Main),6.146449665217855e-06
month_2019-06-01,6.133205903553389e-06
nearest_mrt_name_Lorong Chuan,6.132372853833694e-06
street_name_MCNAIR RD,6.075015028896727e-06
nearest_supermarket_name_FP16,6.071373258831219e-06
nearest_top_primary_name.1_Maris Stella High (Primary Section),6.067592861028141e-06
month_2018-11-01,6.032379494966768e-06
street_name_CLARENCE LANE,5.968017982817482e-06
street_name_HOLLAND CL,5.95166601862704e-06
month_2017-06-01,5.934946890662905e-06
nearest_bus_interchange_name_Sengkang Interchange,5.88815686534127e-06
nearest_mrt_name_Tampines East,5.873916056081102e-06
nearest_supermarket_name_SS7,5.8634439219313526e-06
nearest_supermarket_name_SS47,5.850632811969957e-06
nearest_mrt_name_Tampines West,5.835785239412243e-06
street_name_CANBERRA CRES,5.808591901632491e-06
month_2019-12-01,5.8031264331783335e-06
month_2017-03-01,5.786742658035719e-06
month_2019-08-01,5.785762036357947e-06
nearest_bus_interchange_name_Bukit Merah Interchange,5.745725807731267e-06
street_name_BT BATOK WEST AVE 5,5.696267048240687e-06
remaining_lease_94 years 11 months,5.620285697804385e-06
street_name_RIVERVALE DR,5.561210006469327e-06
nearest_top_primary_name_Fairfield Methodist School (Primary),5.450490370857973e-06
street_name_HOUGANG AVE 8,5.442610537284214e-06
nearest_mrt_name_Marymount,5.429837220314154e-06
nearest_mall_name_Heartland Mall (Kovan),5.402328318712656e-06
nearest_supermarket_name_GT6,5.325927960546761e-06
street_name_JLN BT MERAH,5.311258796249978e-06
nearest_mall_name_PLQ Mall (Paya Lebar Quarter),5.305865073258794e-06
street_name_SERANGOON CTRL,5.279525764633908e-06
street_name_CHAI CHEE RD,5.270910995246163e-06
street_name_ANG MO KIO ST 44,5.227853291033013e-06
street_name_JURONG WEST ST 64,5.227842320241139e-06
block_53,5.220334874010919e-06
remaining_lease_94 years 10 months,5.20244181848931e-06
street_name_ANG MO KIO AVE 4,5.200325730718578e-06
month_2017-10-01,5.197578134278951e-06
nearest_top_primary_name_Tao Nan School,5.171529307186556e-06
nearest_mrt_name_Kovan,5.131548047724216e-06
month_2017-07-01,5.023060636860129e-06
nearest_mrt_name_Telok Blangah,5.013671156339043e-06
nearest_mrt_name_Bright Hill,4.978388891364249e-06
street_name_WHAMPOA DR,4.960942273949219e-06
nearest_hawker_name_Newton Food Centre,4.9340113762231875e-06
street_name_SHUNFU RD,4.930310364123123e-06
street_name_HOUGANG AVE 1,4.907824762808289e-06
remaining_lease_94 years 07 months,4.902404960334076e-06
nearest_mrt_name_Hougang,4.8918271237334345e-06
amenity_cluster_category_Sparse,4.8909226910853905e-06
nearest_supermarket_name_FP13,4.880695354017748e-06
nearest_supermarket_name_FP61,4.869214232484604e-06
street_name_DOVER CRES,4.842637808304003e-06
nearest_supermarket_name_FP62,4.834075913028691e-06
nearest_mrt_name_Aljunied,4.824326231580232e-06
nearest_top_secondary_name_Crescent Girls' School,4.8057956554416885e-06
street_name_HOLLAND DR,4.7944619618932055e-06
nearest_top_primary_name.1_South View Primary School,4.7903001747029625e-06
nearest_top_primary_name.1_Fairfield Methodist School (Primary),4.7563665506046e-06
month_2018-12-01,4.743364212748696e-06
street_name_ANG MO KIO ST 31,4.73630025364043e-06
street_name_YISHUN RING RD,4.735424398771423e-06
street_name_TELOK BLANGAH CRES,4.729140978377486e-06
nearest_bus_interchange_name_Boons Lay Interchange,4.7113336465514375e-06
is_high_mrt_noise_low_floor,4.70386414851365e-06
